Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,16,8,256,off,asynchronous,1000,32,5.69616,10000,5977547,0,132558,0,52224,13666,1155962,132558,5995923,5844989,326
pcs,./pcs_sim,500,32,8,32,off,asynchronous,1000,32,4.94203,10000,5898927,0,53938,0,22169,3505,437103,53938,5902241,5844989,322
pcs,./pcs_sim,500,32,8,64,off,asynchronous,1000,32,4.23583,10000,5896784,0,51795,0,22017,3179,430312,51795,5898803,5844989,392
pcs,./pcs_sim,500,32,8,128,off,asynchronous,1000,32,4.71093,10000,5898041,0,53052,0,28759,4516,553914,53052,5902668,5844989,354
pcs,./pcs_sim,500,32,8,256,off,asynchronous,1000,32,9.97925,10000,7164416,0,1319427,0,397325,115949,9626478,1319427,7345139,5844989,326
pcs,./pcs_sim,500,64,8,32,off,asynchronous,1000,32,4.86384,10000,5922485,0,77496,0,23144,9292,537704,77496,5994757,5844989,288
pcs,./pcs_sim,500,64,8,64,off,asynchronous,1000,32,4.79202,10000,6031347,0,186358,0,42637,13591,929986,186358,6038515,5844989,295
pcs,./pcs_sim,500,64,8,128,off,asynchronous,1000,32,10.4553,10000,7061964,0,1216975,0,411949,102145,9432637,1216975,7208312,5844989,308
pcs,./pcs_sim,500,16,16,32,off,asynchronous,1000,32,4.74417,10000,5992516,0,147527,0,52328,10041,1048826,147527,6021123,5844989,353
pcs,./pcs_sim,500,16,16,64,off,asynchronous,1000,32,5.04619,10000,6030409,0,185420,0,55233,10797,1117587,185420,6104778,5844989,326
pcs,./pcs_sim,500,16,16,128,off,asynchronous,1000,32,5.03665,10000,6089718,0,244729,0,68960,18858,1521989,244729,6102309,5844989,333
pcs,./pcs_sim,500,16,16,256,off,asynchronous,1000,32,6.07179,10000,6306960,0,461971,0,99500,37126,2356381,461971,6393522,5844989,326
pcs,./pcs_sim,500,32,16,32,off,asynchronous,1000,32,4.42636,10000,5903240,0,58251,0,29173,3364,530352,58251,5909327,5844989,361
pcs,./pcs_sim,500,32,16,64,off,asynchronous,1000,32,4.9928,10000,5908444,0,63455,0,31477,3754,579908,63455,5917684,5844989,287
pcs,./pcs_sim,500,32,16,128,off,asynchronous,1000,32,4.39854,10000,5911027,0,66038,0,37922,4862,696570,66038,5916659,5844989,373
pcs,./pcs_sim,500,32,16,256,off,asynchronous,1000,32,10.1789,10000,7219423,0,1374434,0,409842,136182,10396856,1374434,7427653,5844989,339
pcs,./pcs_sim,500,64,16,32,off,asynchronous,1000,32,4.68624,10000,5992211,0,147222,0,34889,11811,756381,147222,6019873,5844989,283
pcs,./pcs_sim,500,64,16,64,off,asynchronous,1000,32,5.15404,10000,6066358,0,221369,0,50161,21255,1168437,221369,6073748,5844989,312
