Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,2,256,off,asynchronous,1000,32,17.2761,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,500
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,4,32,off,asynchronous,1000,32,10.9464,100000,9239396,0,5,0,3,0,38,5,9239395,9239391,571
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,4,64,off,asynchronous,1000,32,9.06348,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,604
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,4,128,off,asynchronous,1000,32,9.79406,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,567
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,4,256,off,asynchronous,1000,32,11.8553,100000,9239400,0,9,0,7,0,123,9,9239399,9239391,574
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,4,32,off,asynchronous,1000,32,10.8821,100000,9239394,0,3,0,6,0,77,3,9239400,9239391,581
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,4,64,off,asynchronous,1000,32,8.92841,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,571
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,4,128,off,asynchronous,1000,32,10.8515,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,568
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,4,256,off,asynchronous,1000,32,9.3821,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,573
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,4,32,off,asynchronous,1000,32,9.28651,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,585
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,4,64,off,asynchronous,1000,32,9.39319,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,568
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,4,128,off,asynchronous,1000,32,9.31286,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,565
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,4,256,off,asynchronous,1000,32,9.34072,100000,9239391,0,0,0,1,0,19,0,9239392,9239391,586
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,8,32,off,asynchronous,1000,32,8.20985,100000,9239932,0,542,0,104,8,1970,542,9239962,9239390,676
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,8,64,off,asynchronous,1000,32,7.33154,100000,9239983,0,600,0,113,13,2062,600,9240064,9239383,753
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,8,128,off,asynchronous,1000,32,7.34673,100000,9239804,0,414,0,72,6,1312,414,9239851,9239390,702
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,8,256,off,asynchronous,1000,32,7.80644,100000,9240094,0,705,0,129,19,2149,705,9240189,9239389,696
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,8,32,off,asynchronous,1000,32,6.95664,100000,9239447,0,56,0,22,0,321,56,9239451,9239391,679
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,8,64,off,asynchronous,1000,32,8.24726,100000,9239521,0,131,0,46,0,643,131,9239531,9239390,650
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,8,128,off,asynchronous,1000,32,6.99495,100000,9239404,0,15,0,10,0,177,15,9239402,9239389,647
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,8,256,off,asynchronous,1000,32,8.02617,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,644
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,8,32,off,asynchronous,1000,32,7.74781,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,627
