Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,4,4,1.0,asynchronous,1000,32,18.5754,10000,49,4072171,0,178738,0,34695,1649,576900,178738,4069963,3893433,719
epidemic,./epidemic_sim,15000,8,4,1.0,asynchronous,1000,32,10.5619,10000,49,4072290,0,178857,0,34688,1654,576802,178857,4070092,3893433,757
epidemic,./epidemic_sim,15000,4,16,1.0,asynchronous,1000,32,18.3828,10000,49,4072324,0,178891,0,34702,1649,576968,178891,4070115,3893433,720
epidemic,./epidemic_sim,15000,8,16,1.0,asynchronous,1000,32,11.2916,10000,49,4072191,0,178758,0,34693,1647,576861,178758,4069980,3893433,737
epidemic,./epidemic_sim,15000,4,32,1.0,asynchronous,1000,32,18.7053,10000,49,4072341,0,178908,0,34699,1653,576824,178908,4070140,3893433,720
epidemic,./epidemic_sim,15000,8,32,1.0,asynchronous,1000,32,10.5749,10000,49,4072312,0,178879,0,34703,1653,576986,178879,4070116,3893433,780
epidemic,./epidemic_sim,15000,4,64,1.0,asynchronous,1000,32,19.2421,10000,49,4072348,0,178915,0,34703,1654,576965,178915,4070144,3893433,720
epidemic,./epidemic_sim,15000,8,64,1.0,asynchronous,1000,32,10.5407,10000,49,4072116,0,178683,0,34683,1648,576730,178683,4069912,3893433,752
epidemic,./epidemic_sim,15000,4,128,1.0,asynchronous,1000,32,18.8632,10000,49,4072322,0,178889,0,34703,1654,577067,178889,4070122,3893433,726
epidemic,./epidemic_sim,15000,8,128,1.0,asynchronous,1000,32,11.1287,10000,49,4072191,0,178758,0,34684,1646,576589,178758,4069973,3893433,752
epidemic,./epidemic_sim,15000,4,256,1.0,asynchronous,1000,32,18.5775,10000,49,4072196,0,178763,0,34691,1649,576885,178763,4069970,3893433,725
epidemic,./epidemic_sim,15000,8,256,1.0,asynchronous,1000,32,11.5164,10000,49,4072301,0,178868,0,34703,1647,576898,178868,4070090,3893433,727
epidemic,./epidemic_sim,15000,16,4,1.0,asynchronous,1000,32,7.30621,10000,49,4072307,0,178874,0,34700,1654,576883,178874,4070106,3893433,796
epidemic,./epidemic_sim,15000,32,4,1.0,asynchronous,1000,32,13.7816,10000,49,4073046,0,179613,0,34702,1674,578273,179613,4070842,3893433,870
epidemic,./epidemic_sim,15000,64,4,1.0,asynchronous,1000,32,161.81,10000,49,4080174,0,186741,0,35213,1817,588421,186741,4077808,3893433,1199
epidemic,./epidemic_sim,15000,16,16,1.0,asynchronous,1000,32,7.21674,10000,49,4072315,0,178882,0,34700,1649,576958,178882,4070112,3893433,819
epidemic,./epidemic_sim,15000,32,16,1.0,asynchronous,1000,32,10.7614,10000,49,4073189,0,179756,0,34753,1670,578369,179756,4070983,3893433,795
epidemic,./epidemic_sim,15000,64,16,1.0,asynchronous,1000,32,155.882,10000,49,4080839,0,187406,0,35265,1846,589229,187406,4078514,3893433,1174
epidemic,./epidemic_sim,15000,16,32,1.0,asynchronous,1000,32,7.35186,10000,49,4072122,0,178689,0,34694,1649,576797,178689,4069907,3893433,805
epidemic,./epidemic_sim,15000,32,32,1.0,asynchronous,1000,32,11.591,10000,49,4072162,0,178729,0,34686,1649,576964,178729,4069949,3893433,836
epidemic,./epidemic_sim,15000,64,32,1.0,asynchronous,1000,32,185.923,10000,49,4078474,0,185041,0,35097,1777,586185,185041,4076228,3893433,1284
epidemic,./epidemic_sim,15000,16,64,1.0,asynchronous,1000,32,7.17409,10000,49,4072322,0,178889,0,34713,1655,577249,178889,4070125,3893433,828
epidemic,./epidemic_sim,15000,32,64,1.0,asynchronous,1000,32,13.1636,10000,49,4073284,0,179851,0,34758,1672,578244,179851,4071090,3893433,889
epidemic,./epidemic_sim,15000,16,128,1.0,asynchronous,1000,32,7.16027,10000,49,4072252,0,178819,0,34695,1649,576906,178819,4070042,3893433,827
epidemic,./epidemic_sim,15000,32,128,1.0,asynchronous,1000,32,11.5514,10000,49,4073977,0,180544,0,34810,1701,579104,180544,4071700,3893433,836
epidemic,./epidemic_sim,15000,16,256,1.0,asynchronous,1000,32,7.20772,10000,49,4072159,0,178726,0,34685,1649,576828,178726,4069948,3893433,810
epidemic,./epidemic_sim,15000,32,256,1.0,asynchronous,1000,32,11.5866,10000,49,4074128,0,180695,0,34835,1690,579874,180695,4071887,3893433,860
epidemic,./epidemic_sim,15000,64,256,1.0,asynchronous,1000,32,177.741,10000,49,4080193,0,186760,0,35154,1831,587224,186760,4077862,3893433,1233
epidemic,./epidemic_sim,15000,4,0,0.75,asynchronous,1000,32,18.5028,10000,49,4072344,0,178911,0,34704,1654,577059,178911,4070141,3893433,725
epidemic,./epidemic_sim,15000,8,0,0.75,asynchronous,1000,32,10.9221,10000,49,4072259,0,178826,0,34711,1654,577299,178826,4070051,3893433,760
epidemic,./epidemic_sim,15000,4,0,0.50,asynchronous,1000,32,19.2688,10000,49,4072355,0,178922,0,34709,1654,577069,178922,4070154,3893433,720
epidemic,./epidemic_sim,15000,8,0,0.50,asynchronous,1000,32,10.4795,10000,49,4072165,0,178732,0,34695,1646,576864,178732,4069952,3893433,764
epidemic,./epidemic_sim,15000,4,0,0.25,asynchronous,1000,32,19.0774,10000,49,4072137,0,178704,0,34682,1647,576678,178704,4069931,3893433,719
epidemic,./epidemic_sim,15000,8,0,0.25,asynchronous,1000,32,10.5365,10000,49,4072253,0,178820,0,34700,1650,576941,178820,4070048,3893433,763
epidemic,./epidemic_sim,15000,4,0,0.05,asynchronous,1000,32,18.6679,10000,49,4072329,0,178896,0,34701,1654,576993,178896,4070133,3893433,719
epidemic,./epidemic_sim,15000,8,0,0.05,asynchronous,1000,32,10.8749,10000,49,4072277,0,178844,0,34708,1649,577178,178844,4070072,3893433,769
epidemic,./epidemic_sim,15000,16,0,0.75,asynchronous,1000,32,7.13347,10000,49,4072313,0,178880,0,34706,1653,577021,178880,4070113,3893433,817
epidemic,./epidemic_sim,15000,32,0,0.75,asynchronous,1000,32,11.5885,10000,49,4073558,0,180125,0,34761,1682,578857,180125,4071349,3893433,851
epidemic,./epidemic_sim,15000,16,0,0.50,asynchronous,1000,32,7.22852,10000,49,4072313,0,178880,0,34696,1654,576877,178880,4070116,3893433,825
epidemic,./epidemic_sim,15000,32,0,0.50,asynchronous,1000,32,12.9559,10000,49,4072244,0,178811,0,34699,1652,577100,178811,4070017,3893433,858
epidemic,./epidemic_sim,15000,64,0,0.50,asynchronous,1000,32,190.752,10000,49,4079526,0,186093,0,35142,1829,587076,186093,4077201,3893433,1287
epidemic,./epidemic_sim,15000,16,0,0.25,asynchronous,1000,32,7.41613,10000,49,4072208,0,178775,0,34699,1650,576806,178775,4070000,3893433,798
epidemic,./epidemic_sim,15000,32,0,0.25,asynchronous,1000,32,13.7513,10000,49,4072311,0,178878,0,34680,1649,577178,178878,4070101,3893433,932
epidemic,./epidemic_sim,15000,64,0,0.25,asynchronous,1000,32,156.645,10000,49,4078129,0,184696,0,35019,1779,585071,184696,4075824,3893433,1269
epidemic,./epidemic_sim,15000,16,0,0.05,asynchronous,1000,32,7.27217,10000,49,4072289,0,178856,0,34705,1653,577106,178856,4070085,3893433,806
epidemic,./epidemic_sim,15000,32,0,0.05,asynchronous,1000,32,11.7891,10000,49,4073470,0,180037,0,34773,1677,578232,180037,4071224,3893433,840
epidemic,./epidemic_sim,15000,64,0,0.05,asynchronous,1000,32,193.598,10000,49,4078580,0,185147,0,35119,1782,585688,185147,4076271,3893433,1300
epidemic,./epidemic_sim,15000,64,64,1.0,asynchronous,1000,32,170.353,10000,49,4079610,0,186177,0,35143,1813,586992,186177,4077221,3893433,1255
epidemic,./epidemic_sim,15000,64,128,1.0,asynchronous,1000,32,155.513,10000,49,4078000,0,184567,0,35084,1786,585524,184567,4075791,3893433,1260
epidemic,./epidemic_sim,15000,64,0,0.75,asynchronous,1000,32,190.022,10000,49,4078949,0,185516,0,35120,1792,586088,185516,4076606,3893433,1330
epidemic,./epidemic_sim,15000,4,4,1.0,asynchronous,1000,32,18.4851,10000,49,4072344,0,178911,0,34700,1654,577094,178911,4070142,3893433,719
epidemic,./epidemic_sim,15000,8,4,1.0,asynchronous,1000,32,10.6695,10000,49,4072330,0,178897,0,34698,1651,576832,178897,4070122,3893433,735
epidemic,./epidemic_sim,15000,4,16,1.0,asynchronous,1000,32,19.3852,10000,49,4072166,0,178733,0,34691,1647,576853,178733,4069951,3893433,719
epidemic,./epidemic_sim,15000,8,16,1.0,asynchronous,1000,32,10.5666,10000,49,4072311,0,178878,0,34698,1652,576838,178878,4070104,3893433,751
epidemic,./epidemic_sim,15000,4,32,1.0,asynchronous,1000,32,18.8803,10000,49,4072228,0,178795,0,34701,1649,577195,178795,4070007,3893433,718
epidemic,./epidemic_sim,15000,8,32,1.0,asynchronous,1000,32,11.4218,10000,49,4072200,0,178767,0,34697,1652,576996,178767,4069997,3893433,750
epidemic,./epidemic_sim,15000,4,64,1.0,asynchronous,1000,32,19.1464,10000,49,4072343,0,178910,0,34704,1653,577095,178910,4070136,3893433,715
epidemic,./epidemic_sim,15000,8,64,1.0,asynchronous,1000,32,10.5798,10000,49,4072322,0,178889,0,34705,1654,576984,178889,4070129,3893433,755
epidemic,./epidemic_sim,15000,4,128,1.0,asynchronous,1000,32,19.3749,10000,49,4072330,0,178897,0,34702,1652,576985,178897,4070123,3893433,717
epidemic,./epidemic_sim,15000,8,128,1.0,asynchronous,1000,32,10.8519,10000,49,4072152,0,178719,0,34694,1648,576877,178719,4069938,3893433,742
epidemic,./epidemic_sim,15000,4,256,1.0,asynchronous,1000,32,19.3093,10000,49,4072325,0,178892,0,34695,1651,576837,178892,4070120,3893433,714
epidemic,./epidemic_sim,15000,8,256,1.0,asynchronous,1000,32,11.5739,10000,49,4072190,0,178757,0,34695,1648,576883,178757,4069975,3893433,739
epidemic,./epidemic_sim,15000,16,4,1.0,asynchronous,1000,32,7.27656,10000,49,4072310,0,178877,0,34711,1655,577071,178877,4070113,3893433,800
