Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,16,16,128,off,asynchronous,1000,32,11.0752,1048576,6549215,0,6,0,25,1,150,6,6549246,6549209,1076
traffic,./traffic_sim-x1024-y1024-n5,500,16,16,256,off,asynchronous,1000,32,9.41213,1048576,6549216,0,7,0,48,2,271,7,6549276,6549209,1076
traffic,./traffic_sim-x1024-y1024-n5,500,32,16,32,off,asynchronous,1000,32,12.5233,1048576,6549210,0,1,0,8,0,29,1,6549217,6549209,1077
traffic,./traffic_sim-x1024-y1024-n5,500,32,16,64,off,asynchronous,1000,32,11.1769,1048576,6549217,0,8,0,34,2,173,8,6549254,6549209,1074
traffic,./traffic_sim-x1024-y1024-n5,500,32,16,128,off,asynchronous,1000,32,6.61434,1048576,6549224,0,15,0,56,3,310,15,6549293,6549209,1052
traffic,./traffic_sim-x1024-y1024-n5,500,32,16,256,off,asynchronous,1000,32,7.47543,1048576,6549222,0,13,0,84,1,445,13,6549312,6549209,1062
traffic,./traffic_sim-x1024-y1024-n5,500,64,16,32,off,asynchronous,1000,32,6.52967,1048576,6549217,0,8,0,40,2,221,8,6549266,6549209,1037
traffic,./traffic_sim-x1024-y1024-n5,500,64,16,64,off,asynchronous,1000,32,10.3527,1048576,6549217,0,8,0,44,1,237,8,6549269,6549209,1061
traffic,./traffic_sim-x1024-y1024-n5,500,64,16,128,off,asynchronous,1000,32,7.35672,1048576,6549220,0,11,0,49,6,299,11,6549276,6549209,1048
traffic,./traffic_sim-x1024-y1024-n5,500,64,16,256,off,asynchronous,1000,32,7.5054,1048576,6549238,0,29,0,169,3,869,29,6549454,6549209,1044
traffic,./traffic_sim-x1024-y1024-n5,500,4,1,32,off,asynchronous,1000,32,32.6207,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1073
